,index,count,co_ord,frame_no
0,f9d944d8e4b8c4e2,1,"[array([ 198,   72, 1470, 1071])]",['frame-146.jpg']
1,f2171fe0033fe4e0,1,"[array([ 879,    5, 1920, 1060])]",['frame-24.jpg']
2,e11fe6989e64c09b,1,"[array([ 320,   74, 1352, 1066])]",['frame-24.jpg']
3,faf8e0e0f0e5c2c2,1,"[array([ 891,  681, 1636, 1070])]",['frame-24.jpg']
4,fe843ab11f98313c,1,"[array([ 954,    3, 1875, 1077])]",['frame-99.jpg']
5,8a6e955f60976853,1,"[array([  1,   3, 555, 396])]",['frame-99.jpg']
6,8ad50e052d4f2f67,1,"[array([   2,  260,  737, 1063])]",['frame-99.jpg']
7,a07fb6c8f2afc00a,1,"[array([  90,  202,  834, 1068])]",['frame-70.jpg']
8,b4b4be93b2411b53,1,"[array([ 718,   40, 1730, 1058])]",['frame-70.jpg']
9,e1870f3ef8a88b68,1,"[array([1279,  500, 1920, 1067])]",['frame-70.jpg']
10,a0ad9f92531af389,1,"[array([ 682,    6, 1115,  932])]",['frame-70.jpg']
11,d5c5cd599191b3a2,1,"[array([1719,  498, 1917, 1056])]",['frame-70.jpg']
12,e04e68c4fb333387,1,"[array([1042,    2, 1918, 1063])]",['frame-127.jpg']
13,91b160fdb881575e,1,"[array([ 46,  93, 873, 795])]",['frame-127.jpg']
14,ae0b34c58fb4b147,1,"[array([  0, 196, 268, 670])]",['frame-127.jpg']
15,9d1d63e62f28032f,1,"[array([1246,  279, 1354,  354])]",['frame-127.jpg']
16,b6b60259999399d9,1,"[array([ 790,   36, 1920, 1068])]",['frame-2.jpg']
17,a9a95556aa5596aa,1,"[array([   6,    4,  493, 1059])]",['frame-2.jpg']
18,c468339769d58ccb,1,"[array([ 384,   96, 1062,  910])]",['frame-114.jpg']
19,a32dd203fe82bfc0,1,"[array([ 232,   15, 1774, 1070])]",['frame-26.jpg']
20,ae98017fdc11792b,1,"[array([ 800,   46, 1650, 1066])]",['frame-62.jpg']
21,ff8346fd40b64138,1,"[array([   8,    3, 1672, 1067])]",['frame-148.jpg']
22,dae4061be2a3935b,1,"[array([ 755,    6, 1918, 1065])]",['frame-116.jpg']
23,8c7ce3ad36b06552,1,"[array([   1,  325,  651, 1066])]",['frame-116.jpg']
24,e9b19bbb6181138b,1,"[array([ 633,   16, 1854, 1066])]",['frame-90.jpg']
25,b19515b5a5455aba,1,"[array([   2,   10,  749, 1050])]",['frame-79.jpg']
26,ffb8390227ed6809,1,"[array([1323,  230, 1917, 1058])]",['frame-79.jpg']
27,d25b2ec666ec9918,1,"[array([1028,   74, 1828, 1068])]",['frame-41.jpg']
28,80bdcb29c9be9cc8,1,"[array([   1,  117,  629, 1066])]",['frame-41.jpg']
29,c97ea6bbe9023443,1,"[array([1539,  292, 1917, 1065])]",['frame-41.jpg']
30,99d1635615b361b3,1,"[array([ 611,  457, 1120, 1070])]",['frame-41.jpg']
31,e932ad6e156ca60d,1,"[array([1600,   70, 1918,  792])]",['frame-41.jpg']
32,ce8ebcb08bbaa826,1,"[array([1310,  134, 1917, 1064])]",['frame-136.jpg']
33,ab3e33d91c23c61c,1,"[array([ 659,  128, 1006,  477])]",['frame-136.jpg']
34,d2b2003dbea7f883,1,"[array([ 908,  220, 1168,  619])]",['frame-136.jpg']
35,ef60acd16ec512e8,1,"[array([319, 140, 621, 398])]",['frame-136.jpg']
36,ef8701246370fdaa,1,"[array([ 344,  478,  705, 1064])]",['frame-136.jpg']
37,da279566b6d88c13,1,"[array([102, 213, 364, 505])]",['frame-136.jpg']
38,8413c31e3be9ac79,1,"[array([  0, 194, 104, 283])]",['frame-136.jpg']
39,d26a2ab5165b4cec,1,"[array([  2, 277, 476, 959])]",['frame-136.jpg']
40,b2b1b5a2e1e2eb44,1,"[array([ 182,   94,  934, 1065])]",['frame-50.jpg']
41,f5d05ab1daacc452,1,"[array([ 864,  289, 1086,  894])]",['frame-50.jpg']
42,93bcb0c33b68972c,1,"[array([   2,  216,  241, 1066])]",['frame-50.jpg']
43,d5c46ad16597d261,1,"[array([1383,  285, 1704, 1072])]",['frame-50.jpg']
44,f5c94a9e49a5d158,1,"[array([1048,  315, 1141,  732])]",['frame-50.jpg']
45,f8c12cb0932d6cbb,1,"[array([742, 334, 834, 478])]",['frame-50.jpg']
46,95d56db2cf4b6021,1,"[array([1308,  534, 1419,  753])]",['frame-50.jpg']
47,a2e362434505ffa7,1,"[array([ 200,  156,  475, 1046])]",['frame-50.jpg']
48,b6e9c9b44813b46d,1,"[array([  0, 327,  76, 982])]",['frame-50.jpg']
49,f3502ced9052237f,1,"[array([   2,  110,  932, 1065])]",['frame-10.jpg']
50,d06d2536ee19f099,1,"[array([1041,   36, 1712,  832])]",['frame-10.jpg']
51,fad14f2dc0e97412,1,"[array([ 404,   38, 1908, 1062])]",['frame-135.jpg']
52,9cc24de6b3d95512,1,"[array([ 322,   42, 1505, 1066])]",['frame-133.jpg']
53,d7c03d3dc0c86e63,1,"[array([1539,   58, 1917, 1062])]",['frame-133.jpg']
54,d7e33d84f34b4224,1,"[array([1094,    3, 1881,  964])]",['frame-133.jpg']
55,c89f32e1c72a6f50,1,"[array([ 143,    2,  841, 1065])]",['frame-133.jpg']
56,ab21c43f882adeab,1,"[array([ 466,   30, 1347,  922])]",['frame-126.jpg']
57,bf4afba9046aa505,1,"[array([  58,  508,  757, 1066])]",['frame-126.jpg']
58,edc101fb591d0f62,1,"[array([ 465,  146, 1234,  919])]",['frame-44.jpg']
59,a5905b671c949dad,1,"[array([ 504,   22, 1554, 1066])]",['frame-71.jpg']
60,9393d349a58d694b,1,"[array([   6,    2,  561, 1064])]",['frame-71.jpg']
61,f816e1030de0d9fe,1,"[array([ 999,  530, 1594, 1071])]",['frame-35.jpg']
62,a7d7bc1ea112a117,1,"[array([246,  30, 548, 539])]",['frame-35.jpg']
63,d219a37da21cf1b8,1,"[array([1374,  289, 1809,  870])]",['frame-35.jpg']
64,9695554865b6927d,1,"[array([   1,  520,  194, 1072])]",['frame-35.jpg']
65,8bce3954d7228a4f,1,"[array([681,  96, 896, 425])]",['frame-35.jpg']
66,ef11c6efb9882b20,1,"[array([681, 268, 994, 546])]",['frame-35.jpg']
67,aca492f2f2591b33,1,"[array([  75,   67,  437, 1049])]",['frame-123.jpg']
68,8fbbc865da0b3464,1,"[array([ 684,  588,  936, 1005])]",['frame-123.jpg']
69,ce69213526666677,1,"[array([ 750, 1020,  897, 1080])]",['frame-123.jpg']
70,bc1cdd422dea50bc,1,"[array([1023,  922, 1368, 1079])]",['frame-123.jpg']
71,9620cd3d698c7c57,1,"[array([1690,  964, 1918, 1078])]",['frame-123.jpg']
72,b1c07c9fe13388c7,1,"[array([ 738,  135, 1570, 1066])]",['frame-3.jpg']
73,cfdca6a62619d464,1,"[array([ 891,  105, 1509, 1072])]",['frame-83.jpg']
74,fcb88ea635442ea5,1,"[array([ 399,  202,  988, 1074])]",['frame-83.jpg']
75,e3e2ba9e3e80c331,1,"[array([1242,  111, 1740, 1071])]",['frame-83.jpg']
76,d99a3a26978702fa,1,"[array([  0,  39, 475, 856])]",['frame-83.jpg']
77,e2ba53f0c1a39b13,1,"[array([1191,   75, 1347,  327])]",['frame-83.jpg']
78,ea8a885f11f137a6,1,"[array([1444,   62, 1670,  540])]",['frame-83.jpg']
79,f0118fe3b99e6a21,1,"[array([211,  68, 434, 362])]",['frame-83.jpg']
80,89a3218cd9dfaa33,1,"[array([568,  97, 764, 548])]",['frame-83.jpg']
81,d9ad2c9b61c98b83,1,"[array([ 782,   82, 1006,  534])]",['frame-83.jpg']
82,f31987d2ce0d03b6,1,"[array([426,  82, 564, 277])]",['frame-83.jpg']
83,d986731c06f32dc6,1,"[array([ 158,   39, 1106, 1071])]",['frame-15.jpg']
84,d4c80f2f7d363232,1,"[array([   3,  764,  593, 1070])]",['frame-15.jpg']
85,c9b578c726dcb910,1,"[array([1038,   39, 1716, 1071])]",['frame-87.jpg']
86,96da1b2968ad496d,1,"[array([   2,  464,  607, 1070])]",['frame-87.jpg']
87,fe674787b04d1c30,1,"[array([ 912,    1, 1917, 1064])]",['frame-54.jpg']
88,863335f6f20f1e42,1,"[array([  35,   21, 1018, 1042])]",['frame-54.jpg']
89,ad6759859ed861c8,1,"[array([  0, 184, 373, 842])]",['frame-54.jpg']
90,9b6667938785e834,1,"[array([   3,  668,  313, 1053])]",['frame-54.jpg']
91,a6c879383a737171,1,"[array([ 912,   34, 1563, 1066])]",['frame-7.jpg']
92,91407f3f80d1647f,1,"[array([   1,  430,  233, 1065])]",['frame-7.jpg']
93,ebe7de2005e4c835,1,"[array([ 580,   40, 1917, 1076])]",['frame-84.jpg']
94,ab2bdb5294a96895,1,"[array([   4,    4,  522, 1058])]",['frame-84.jpg']
95,bbf848b2479c6e90,1,"[array([ 632,   80, 1482, 1070])]",['frame-134.jpg']
96,97cf8c96d2c84969,1,"[array([1390,  982, 1767, 1078])]",['frame-134.jpg']
97,d1c161f01f36e6ac,1,"[array([1092,    3, 1917, 1062])]",['frame-107.jpg']
98,b9d23f7c64c34342,1,"[array([ 909,   16, 1744, 1067])]",['frame-60.jpg']
99,9fb4380c57d1d0da,1,"[array([ 393,  248,  968, 1067])]",['frame-60.jpg']
100,f306e905701f37f0,1,"[array([ 818,   21, 1448, 1071])]",['frame-85.jpg']
101,ac4c99771437c31b,1,"[array([ 265,  356,  814, 1072])]",['frame-85.jpg']
102,ede48d5a60a5da58,1,"[array([ 206,  106, 1653, 1066])]",['frame-104.jpg']
103,c02db3c8892fabb3,1,"[array([1426,  603, 1918, 1071])]",['frame-104.jpg']
104,d37aa98c3bd1114d,1,"[array([   2,   42, 1272, 1066])]",['frame-36.jpg']
105,d594d477bde28089,1,"[array([1758,  135, 1920,  830])]",['frame-36.jpg']
106,970fdd89383530da,1,"[array([1100,  206, 1341,  874])]",['frame-36.jpg']
107,a2a495d3c34ba91f,1,"[array([1380,    1, 1785,  748])]",['frame-32.jpg']
108,c66a882a602fc7f7,1,"[array([1022,  166, 1364,  907])]",['frame-32.jpg']
109,bcecc949270bb654,1,"[array([ 330,   78, 1106, 1066])]",['frame-32.jpg']
110,9dbd7860c0729f58,1,"[array([1866,   93, 1920,  368])]",['frame-32.jpg']
111,f9c9e0f5c890a5ca,1,"[array([1469,  290, 1794, 1072])]",['frame-51.jpg']
112,8d4eb50cb64b46f1,1,"[array([   2,    4,  568, 1062])]",['frame-51.jpg']
113,9b868f9794a38a95,1,"[array([ 680,  267, 1216, 1070])]",['frame-51.jpg']
114,f788ece1cb1f20e0,1,"[array([1311,  360, 1491,  900])]",['frame-51.jpg']
115,c4dac1ced02dea3a,1,"[array([1145,  367, 1300,  617])]",['frame-51.jpg']
116,f9b1b4d92d9093b0,1,"[array([1740,  322, 1884,  939])]",['frame-51.jpg']
117,f26d826c9ff09c22,1,"[array([225, 268, 395, 727])]",['frame-51.jpg']
118,9e8e8d9a0db12a9e,1,"[array([729, 318, 849, 520])]",['frame-51.jpg']
119,e30ee81f74ed00e6,1,"[array([ 317,  226,  700, 1051])]",['frame-51.jpg']
120,c5f2e9ccd131c1e2,1,"[array([1072,  422, 1150,  585])]",['frame-51.jpg']
121,c49af027efc2aa8c,1,"[array([1153,  542, 1321, 1032])]",['frame-51.jpg']
122,b2b6b3902fd4a15a,1,"[array([ 557,  245,  732, 1012])]",['frame-51.jpg']
123,f4b00f4fb1134db1,1,"[array([ 662,   39, 1917, 1065])]",['frame-105.jpg']
124,d55ae1b4168ae1e5,1,"[array([   1,  864,  292, 1074])]",['frame-105.jpg']
125,bd8b4463567ef044,1,"[array([1110,   49, 1584, 1068])]",['frame-138.jpg']
126,f2b2013e1df5f007,1,"[array([ 800,  258, 1096,  688])]",['frame-138.jpg']
127,de016ed2b02fc93c,1,"[array([484, 163, 897, 550])]",['frame-138.jpg']
128,987681b86738b7c6,1,"[array([ 44, 189, 415, 494])]",['frame-138.jpg']
129,c10b2f757eb41654,1,"[array([   1,  476,  850, 1067])]",['frame-138.jpg']
130,db793b96006fe0c4,1,"[array([  52,   21,  950, 1068])]",['frame-94.jpg']
131,e729515d18a6af2a,1,"[array([ 914,   21, 1796, 1068])]",['frame-94.jpg']
132,f1464e999bbca4c1,1,"[array([345, 376, 452, 527])]",['frame-94.jpg']
133,d9fe3e8c0183fc06,1,"[array([ 856,   30, 1288, 1065])]",['frame-21.jpg']
134,854a7b7163c6959a,1,"[array([1017,   59, 1704, 1067])]",['frame-69.jpg']
135,a85b3526721eceac,1,"[array([ 164,  152,  578, 1032])]",['frame-69.jpg']
136,a7d2b1699aa2da49,1,"[array([ 597,    7, 1599, 1066])]",['frame-67.jpg']
137,aab2b0e0c7fbc886,1,"[array([ 224,  151,  808, 1068])]",['frame-67.jpg']
138,a7b56a48a4837b9c,1,"[array([ 763,  249, 1000,  558])]",['frame-67.jpg']
139,80c0c033f6b7f51f,1,"[array([1420,  125, 1918, 1067])]",['frame-67.jpg']
140,a394a5e3a563574a,1,"[array([774, 443, 924, 598])]",['frame-67.jpg']
141,e38bc1d93a878732,1,"[array([ 80, 249, 512, 864])]",['frame-67.jpg']
142,933fce0ef186bc80,1,"[array([1412,  579, 1750, 1071])]",['frame-67.jpg']
143,a0e58a19cccf58bd,1,"[array([ 118,   42, 1184, 1058])]",['frame-38.jpg']
144,ffc0cf9f00f81303,1,"[array([1701,  725, 1917, 1073])]",['frame-38.jpg']
145,daf2110df3f2094d,1,"[array([   2,    4, 1437, 1072])]",['frame-68.jpg']
146,eeb146cc3193cbc8,1,"[array([ 604,   56, 1860, 1072])]",['frame-124.jpg']
147,da6b03920934ffd8,1,"[array([ 734,   57, 1767, 1066])]",['frame-53.jpg']
148,913b7bc848f980ed,1,"[array([   0,    2, 1080, 1066])]",['frame-53.jpg']
149,b5d96931cb66a644,1,"[array([   2,  128,  781, 1068])]",['frame-75.jpg']
150,8c944f39b68e6599,1,"[array([ 831,   62, 1314,  874])]",['frame-75.jpg']
151,a795f121f0abe42a,1,"[array([1344,  332, 1425,  509])]",['frame-75.jpg']
152,9c99f6f1063bc047,1,"[array([ 843,    4, 1916, 1060])]",['frame-88.jpg']
153,a52fc30fb443f883,1,"[array([ 428,   75, 1102,  993])]",['frame-88.jpg']
154,9938e20f3f210fe9,1,"[array([1302,   58, 1611,  508])]",['frame-18.jpg']
155,b6d455cba49945d4,1,"[array([   2,    2, 1264,  502])]",['frame-27.jpg']
156,bdbd9103432fac94,1,"[array([   3,    4,  536, 1062])]",['frame-19.jpg']
157,aef314358bc9c2c5,1,"[array([ 598,   40, 1686, 1069])]",['frame-19.jpg']
158,921f3de0634f7624,1,"[array([1653,  279, 1917, 1068])]",['frame-19.jpg']
159,b5d8192763b4c1b6,1,"[array([ 734,  116, 1608, 1069])]",['frame-137.jpg']
160,e1e171fe6e4e0606,1,"[array([1184,   51, 1918, 1066])]",['frame-129.jpg']
161,98b9612fe6c6709c,1,"[array([   1,   33,  682, 1066])]",['frame-129.jpg']
162,99d9419139cf99c9,1,"[array([ 673,  253, 1228, 1068])]",['frame-129.jpg']
163,c7c3e3e2e3703838,1,"[array([1121,  200, 1334,  550])]",['frame-129.jpg']
164,8da5a9ed82cacec2,1,"[array([467, 118, 722, 719])]",['frame-129.jpg']
165,cdcd8fc763333088,1,"[array([ 782,   91, 1250,  678])]",['frame-129.jpg']
166,c4e0394c78c773ce,1,"[array([ 956,   94, 1069,  257])]",['frame-129.jpg']
167,b4f0395e17f1e304,1,"[array([ 138,    2,  831, 1064])]",['frame-128.jpg']
168,eb9d9cc4822698bd,1,"[array([1034,   46, 1486, 1066])]",['frame-128.jpg']
169,abf0f0754e1d6c50,1,"[array([1419,  119, 1920, 1069])]",['frame-128.jpg']
170,9ada4e4e6ed58522,1,"[array([   1,   22,  450, 1065])]",['frame-128.jpg']
171,f3e124dba99592b0,1,"[array([  22,    8, 1060, 1066])]",['frame-1.jpg']
