,index,count,co_ord
0,frame-146.jpg,1,"[array([ 198,   72, 1470, 1071])]"
1,frame-24.jpg,3,"[array([ 879,    5, 1920, 1060]), array([ 320,   74, 1352, 1066]), array([ 891,  681, 1636, 1070])]"
2,frame-99.jpg,3,"[array([ 954,    3, 1875, 1077]), array([  1,   3, 555, 396]), array([   2,  260,  737, 1063])]"
3,frame-70.jpg,5,"[array([  90,  202,  834, 1068]), array([ 718,   40, 1730, 1058]), array([1279,  500, 1920, 1067]), array([ 682,    6, 1115,  932]), array([1719,  498, 1917, 1056])]"
4,frame-127.jpg,4,"[array([1042,    2, 1918, 1063]), array([ 46,  93, 873, 795]), array([  0, 196, 268, 670]), array([1246,  279, 1354,  354])]"
5,frame-2.jpg,2,"[array([ 790,   36, 1920, 1068]), array([   6,    4,  493, 1059])]"
6,frame-114.jpg,1,"[array([ 384,   96, 1062,  910])]"
7,frame-26.jpg,1,"[array([ 232,   15, 1774, 1070])]"
8,frame-62.jpg,1,"[array([ 800,   46, 1650, 1066])]"
9,frame-148.jpg,1,"[array([   8,    3, 1672, 1067])]"
10,frame-116.jpg,2,"[array([ 755,    6, 1918, 1065]), array([   1,  325,  651, 1066])]"
11,frame-90.jpg,1,"[array([ 633,   16, 1854, 1066])]"
12,frame-79.jpg,2,"[array([   2,   10,  749, 1050]), array([1323,  230, 1917, 1058])]"
13,frame-41.jpg,5,"[array([1028,   74, 1828, 1068]), array([   1,  117,  629, 1066]), array([1539,  292, 1917, 1065]), array([ 611,  457, 1120, 1070]), array([1600,   70, 1918,  792])]"
14,frame-136.jpg,8,"[array([1310,  134, 1917, 1064]), array([ 659,  128, 1006,  477]), array([ 908,  220, 1168,  619]), array([319, 140, 621, 398]), array([ 344,  478,  705, 1064]), array([102, 213, 364, 505]), array([  0, 194, 104, 283]), array([  2, 277, 476, 959])]"
15,frame-50.jpg,9,"[array([ 182,   94,  934, 1065]), array([ 864,  289, 1086,  894]), array([   2,  216,  241, 1066]), array([1383,  285, 1704, 1072]), array([1048,  315, 1141,  732]), array([742, 334, 834, 478]), array([1308,  534, 1419,  753]), array([ 200,  156,  475, 1046]), array([  0, 327,  76, 982])]"
16,frame-10.jpg,2,"[array([   2,  110,  932, 1065]), array([1041,   36, 1712,  832])]"
17,frame-135.jpg,1,"[array([ 404,   38, 1908, 1062])]"
18,frame-133.jpg,4,"[array([ 322,   42, 1505, 1066]), array([1539,   58, 1917, 1062]), array([1094,    3, 1881,  964]), array([ 143,    2,  841, 1065])]"
19,frame-126.jpg,2,"[array([ 466,   30, 1347,  922]), array([  58,  508,  757, 1066])]"
20,frame-44.jpg,1,"[array([ 465,  146, 1234,  919])]"
21,frame-71.jpg,2,"[array([ 504,   22, 1554, 1066]), array([   6,    2,  561, 1064])]"
22,frame-35.jpg,6,"[array([ 999,  530, 1594, 1071]), array([246,  30, 548, 539]), array([1374,  289, 1809,  870]), array([   1,  520,  194, 1072]), array([681,  96, 896, 425]), array([681, 268, 994, 546])]"
23,frame-123.jpg,5,"[array([  75,   67,  437, 1049]), array([ 684,  588,  936, 1005]), array([ 750, 1020,  897, 1080]), array([1023,  922, 1368, 1079]), array([1690,  964, 1918, 1078])]"
24,frame-3.jpg,1,"[array([ 738,  135, 1570, 1066])]"
25,frame-83.jpg,10,"[array([ 891,  105, 1509, 1072]), array([ 399,  202,  988, 1074]), array([1242,  111, 1740, 1071]), array([  0,  39, 475, 856]), array([1191,   75, 1347,  327]), array([1444,   62, 1670,  540]), array([211,  68, 434, 362]), array([568,  97, 764, 548]), array([ 782,   82, 1006,  534]), array([426,  82, 564, 277])]"
26,frame-15.jpg,2,"[array([ 158,   39, 1106, 1071]), array([   3,  764,  593, 1070])]"
27,frame-87.jpg,2,"[array([1038,   39, 1716, 1071]), array([   2,  464,  607, 1070])]"
28,frame-54.jpg,4,"[array([ 912,    1, 1917, 1064]), array([  35,   21, 1018, 1042]), array([  0, 184, 373, 842]), array([   3,  668,  313, 1053])]"
29,frame-7.jpg,2,"[array([ 912,   34, 1563, 1066]), array([   1,  430,  233, 1065])]"
30,frame-84.jpg,2,"[array([ 580,   40, 1917, 1076]), array([   4,    4,  522, 1058])]"
31,frame-134.jpg,2,"[array([ 632,   80, 1482, 1070]), array([1390,  982, 1767, 1078])]"
32,frame-107.jpg,1,"[array([1092,    3, 1917, 1062])]"
33,frame-60.jpg,2,"[array([ 909,   16, 1744, 1067]), array([ 393,  248,  968, 1067])]"
34,frame-85.jpg,2,"[array([ 818,   21, 1448, 1071]), array([ 265,  356,  814, 1072])]"
35,frame-104.jpg,2,"[array([ 206,  106, 1653, 1066]), array([1426,  603, 1918, 1071])]"
36,frame-36.jpg,3,"[array([   2,   42, 1272, 1066]), array([1758,  135, 1920,  830]), array([1100,  206, 1341,  874])]"
37,frame-32.jpg,4,"[array([1380,    1, 1785,  748]), array([1022,  166, 1364,  907]), array([ 330,   78, 1106, 1066]), array([1866,   93, 1920,  368])]"
